director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,,rand
Steven Spielberg,185,14000,212,Embeth Davidtz,14000,96067179,Biography|Drama|History,Liam Neeson,Schindler's List ,865020,15233,Caroline Goodall,http://www.imdb.com/title/tt0108052/?ref_=fn_tt_tt_1,R,22000000,1993,795,8.9,,0.942597237
Garry Marshall,113,0,995,Raven-Symoné,11000,95149435,Comedy|Family|Romance,Anne Hathaway,The Princess Diaries 2: Royal Engagement ,53687,15362,Hector Elizondo,http://www.imdb.com/title/tt0368933/?ref_=fn_tt_tt_1,G,40000000,2004,1000,5.7,,0.802033408
Robert Luketic,96,126,584,Raquel Welch,2000,95001351,Comedy|Romance,Linda Cardellini,Legally Blonde ,131801,4380,Alanna Ubach,http://www.imdb.com/title/tt0250494/?ref_=fn_tt_tt_1,PG-13,18000000,2001,788,6.2,,0.432594332
Martin Campbell,136,258,94,Tony Amendola,12000,93771072,Action|Adventure|Comedy|Romance|Thriller|Western,Anthony Hopkins,The Mask of Zorro ,135404,12396,Stuart Wilson,http://www.imdb.com/title/tt0120746/?ref_=fn_tt_tt_1,PG-13,65000000,1998,174,6.7,,0.656386463
Marc Lawrence,101,30,268,Alicia Witt,1000,93307796,Comedy|Romance,Dorian Missick,Two Weeks Notice ,85673,2636,Dana Ivey,http://www.imdb.com/title/tt0313737/?ref_=fn_tt_tt_1,PG-13,60000000,2002,976,6.1,,0.714287021
Les Mayfield,90,10,159,Jodi Benson,49000,92969824,Comedy|Family|Sci-Fi,Robin Williams,Flubber ,63625,50005,Sam Lloyd,http://www.imdb.com/title/tt0119137/?ref_=fn_tt_tt_1,PG,80000000,1997,570,5.2,,0.948507062
Joel Schumacher,119,541,551,Anthony LaPaglia,821,92115211,Crime|Drama|Mystery|Thriller,Bradley Whitford,The Client ,45798,4043,Brad Renfro,http://www.imdb.com/title/tt0109446/?ref_=fn_tt_tt_1,PG-13,45000000,1994,577,6.7,,0.174780608
Randall Wallace,99,130,79,Connor Corum,399,91443253,Biography|Drama,Jacob Vargas,Heaven Is for Real ,21034,663,Rob Moran,http://www.imdb.com/title/tt1929263/?ref_=fn_tt_tt_1,PG,12000000,2014,116,5.8,,0.747580559
Joe Pytka,88,30,366,Wayne Knight,13000,90443603,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport,Bill Murray,Space Jam ,112167,15001,Michael Jordan,http://www.imdb.com/title/tt0117705/?ref_=fn_tt_tt_1,PG,80000000,1996,967,6.3,,0.219619302
Etan Cohen,107,164,723,Alison Brie,8000,90353764,Comedy|Crime,Will Ferrell,Get Hard ,85629,12556,Craig T. Nelson,http://www.imdb.com/title/tt2561572/?ref_=fn_tt_tt_1,R,40000000,2015,2000,6,,0.281162484
Chuck Russell,100,55,416,Roger Rees,12000,90341670,Action|Adventure|Fantasy|Thriller,Dwayne Johnson,The Scorpion King ,102129,14611,Bernard Hill,http://www.imdb.com/title/tt0277296/?ref_=fn_tt_tt_1,PG-13,60000000,2002,1000,5.5,,0.568490779
Clint Eastwood,138,16000,262,Spencer Treat Clark,616,90135191,Crime|Drama|Mystery|Thriller,John Doman,Mystic River ,338415,1942,Tom Guiry,http://www.imdb.com/title/tt0327056/?ref_=fn_tt_tt_1,R,25000000,2003,541,8,,0.076046843
Charles Herman-Wurmfeld,95,0,643,Bruce McGill,934,89808372,Comedy,Mary Lynn Rajskub,"Legally Blonde 2: Red, White & Blonde ",46417,3500,Bob Newhart,http://www.imdb.com/title/tt0333780/?ref_=fn_tt_tt_1,PG-13,45000000,2003,655,4.6,,0.283053667
Chris Columbus,118,0,1000,Rosario Dawson,8000,88761720,Adventure|Family|Fantasy,Logan Lerman,Percy Jackson & the Olympians: The Lightning Thief ,141179,14024,Steve Coogan,http://www.imdb.com/title/tt0814255/?ref_=fn_tt_tt_1,PG,95000000,2010,3000,5.9,,0.536398858
Spike Lee,129,0,277,James Ransone,18000,88504640,Crime|Drama|Mystery|Thriller,Denzel Washington,Inside Man ,273108,19148,Peter Gerety,http://www.imdb.com/title/tt0454848/?ref_=fn_tt_tt_1,R,45000000,2006,412,7.6,,0.425688583
David Zucker,85,119,144,Priscilla Presley,3000,86930411,Comedy|Crime,George Kennedy,The Naked Gun 2½: The Smell of Fear ,83269,3847,O.J. Simpson,http://www.imdb.com/title/tt0102510/?ref_=fn_tt_tt_1,PG-13,23000000,1991,348,6.8,,0.643241967
Ivan Reitman,117,425,901,Harold Ramis,13000,85300000,Action|Comedy|War,Bill Murray,Stripes ,48629,27378,Judge Reinhold,http://www.imdb.com/title/tt0083131/?ref_=fn_tt_tt_1,R,10000000,1981,11000,6.9,,0.632870285
Ben Falcone,100,265,265,Mark Duplass,989,84518155,Comedy,Gary Cole,Tammy ,35965,2654,Ben Falcone,http://www.imdb.com/title/tt2103254/?ref_=fn_tt_tt_1,R,20000000,2014,830,4.9,,0.374021168
John R. Leonetti,99,40,300,Annabelle Wallis,1000,84263837,Horror|Mystery,Alfre Woodard,Annabelle ,81699,2323,Gabriel Bateman,http://www.imdb.com/title/tt3322940/?ref_=fn_tt_tt_1,R,6500000,2014,421,5.4,,0.412886708
Gary Trousdale,95,21,503,Jim Varney,12000,84037039,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Leonard Nimoy,Atlantis: The Lost Empire ,72591,15237,Cree Summer,http://www.imdb.com/title/tt0230011/?ref_=fn_tt_tt_1,PG,120000000,2001,802,6.8,,0.54584092
Tony Scott,107,12000,695,Robert Duvall,10000,82670733,Action|Drama|Sport,Tom Cruise,Days of Thunder ,60476,14006,Randy Quaid,http://www.imdb.com/title/tt0099371/?ref_=fn_tt_tt_1,PG-13,60000000,1990,3000,5.9,,0.974213814
Stephen Herek,143,65,320,Olympia Dukakis,975,82528097,Drama|Music,Alicia Witt,Mr. Holland's Opus ,30230,2223,Jean Louisa Kelly,http://www.imdb.com/title/tt0113862/?ref_=fn_tt_tt_1,PG,6500000,1995,345,7.3,,0.862899477
Shawn Levy,93,189,38,Henry Czerny,1000,82226474,Adventure|Comedy|Crime|Family|Mystery,Roger Rees,The Pink Panther ,65499,1267,William Abadie,http://www.imdb.com/title/tt0383216/?ref_=fn_tt_tt_1,PG,65000000,2006,177,5.6,,0.913698017
Wes Ball,132,47,240,Lili Taylor,988,81687587,Action|Sci-Fi|Thriller,Ki Hong Lee,The Scorch Trials ,138246,2517,Rosa Salazar,http://www.imdb.com/title/tt4046784/?ref_=fn_tt_tt_1,PG-13,61000000,2015,960,6.4,,0.89501171
Brian Helgeland,90,241,416,Deborah Kara Unger,1000,81517441,Action|Crime|Drama|Thriller,Bill Duke,Payback ,111368,3148,William Devane,http://www.imdb.com/title/tt0120784/?ref_=fn_tt_tt_1,R,50000000,1999,495,7.1,,0.413817902
Seth MacFarlane,125,3000,3000,Morgan Freeman,14000,81257500,Comedy,Liam Neeson,Ted 2 ,117739,30010,Seth MacFarlane,http://www.imdb.com/title/tt2637276/?ref_=fn_tt_tt_1,R,68000000,2015,11000,6.4,,0.033068539
Hugh Wilson,96,37,542,Bubba Smith,801,81200000,Comedy,Steve Guttenberg,Police Academy ,87739,3113,Michael Winslow,http://www.imdb.com/title/tt0087928/?ref_=fn_tt_tt_1,R,4500000,1984,760,6.7,,0.937741635
D.J. Caruso,105,154,502,Aaron Yoo,884,80050171,Drama|Mystery|Thriller,Sarah Roemer,Disturbia ,186982,2288,Jose Pablo Cantillo,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,PG-13,20000000,2007,617,6.9,,0.657676087
Christopher McQuarrie,130,188,1000,Robert Duvall,10000,80033643,Action|Crime|Mystery|Thriller,Tom Cruise,Jack Reacher ,226570,16385,David Oyelowo,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,PG-13,60000000,2012,3000,7,,0.953233218
Rob Letterman,103,11,543,Dylan Minnette,2000,80021740,Adventure|Comedy|Family|Fantasy|Horror,Odeya Rush,Goosebumps ,47968,5497,Ken Marino,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1,PG,58000000,2015,1000,6.4,,0.899783526
Herbert Ross,107,71,304,Chris Penn,967,80000000,Drama|Music|Romance,Dianne Wiest,Footloose ,51459,1962,Lori Singer,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1,PG,8200000,1984,455,6.5,,0.530718676
James DeMonaco,109,65,393,Joseph Julian Soria,798,78845130,Action|Horror|Sci-Fi|Thriller,Frank Grillo,The Purge: Election Year ,17596,2480,Mykelti Williamson,http://www.imdb.com/title/tt4094724/?ref_=fn_tt_tt_1,R,10000000,2016,465,6.1,,0.52050768
Steven Spielberg,128,14000,232,Chi McBride,15000,77032279,Comedy|Drama,Tom Hanks,The Terminal ,303864,16199,Barry Shabaka Henley,http://www.imdb.com/title/tt0362227/?ref_=fn_tt_tt_1,PG-13,60000000,2004,466,7.3,,0.704897353
James Bobin,113,33,11000,Alan Rickman,40000,76846624,Adventure|Family|Fantasy,Johnny Depp,Alice Through the Looking Glass ,21352,80806,Anne Hathaway,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,PG,170000000,2016,25000,6.4,,0.410945121
Leonard Nimoy,105,12000,643,Nichelle Nichols,12000,76400000,Action|Adventure|Sci-Fi,Leonard Nimoy,Star Trek III: The Search for Spock ,58743,14762,Walter Koenig,http://www.imdb.com/title/tt0088170/?ref_=fn_tt_tt_1,PG,17000000,1984,664,6.6,,0.081351437
Mel Gibson,178,0,403,Patrick McGoohan,906,75600000,Biography|Drama|History|War,Mhairi Calvey,Braveheart ,736638,1976,James Robinson,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1,R,72000000,1995,466,8.4,,0.545344483
Dennis Dugan,91,221,553,Adam Sandler,14000,74158157,Comedy,Al Pacino,Jack and Jill ,60370,27405,Tim Meadows,http://www.imdb.com/title/tt0810913/?ref_=fn_tt_tt_1,PG,79000000,2011,11000,3.4,,0.454339604
F. Gary Gray,118,473,963,Leslie Bibb,18000,73343413,Crime|Drama|Thriller,Gerard Butler,Law Abiding Citizen ,217480,22517,Michael Kelly,http://www.imdb.com/title/tt1197624/?ref_=fn_tt_tt_1,R,50000000,2009,1000,7.4,,0.164116164
Sydney Pollack,128,521,249,George Harris,591,72515360,Crime|Mystery|Thriller,Curtiss Cook,The Interpreter ,86152,2100,Michael Wright,http://www.imdb.com/title/tt0373926/?ref_=fn_tt_tt_1,PG-13,80000000,2005,249,6.4,,0.354351614
Pete Travis,90,38,882,Edgar Ramírez,2000,72266306,Crime|Drama|Mystery|Thriller,Dennis Quaid,Vantage Point ,127528,6775,William Hurt,http://www.imdb.com/title/tt0443274/?ref_=fn_tt_tt_1,PG-13,40000000,2008,897,6.6,,0.616628408
Dan Trachtenberg,104,16,82,John Gallagher Jr.,14000,71897215,Drama|Horror|Mystery|Sci-Fi|Thriller,Bradley Cooper,10 Cloverfield Lane ,126893,14504,Sumalee Montano,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,PG-13,15000000,2016,338,7.3,,0.817723134
Alexander Payne,126,729,284,Patrick Gallagher,912,71502303,Adventure|Comedy|Drama|Romance,Virginia Madsen,Sideways ,149966,2170,M.C. Gainey,http://www.imdb.com/title/tt0375063/?ref_=fn_tt_tt_1,R,12000000,2004,306,7.5,,0.844544264
Andy Fickman,94,99,377,Daniella Alonso,598,71038190,Action|Comedy|Crime,D.B. Woodside,Paul Blart: Mall Cop 2 ,23473,3552,Eduardo Verástegui,http://www.imdb.com/title/tt3450650/?ref_=fn_tt_tt_1,PG,30000000,2015,557,4.4,,0.142241708
Nick Cassavetes,116,415,644,Laura Harring,18000,71026631,Crime|Drama|Thriller,Denzel Washington,John Q ,98899,20970,Anne Heche,http://www.imdb.com/title/tt0251160/?ref_=fn_tt_tt_1,PG-13,36000000,2002,669,7,,0.716380105
Bobby Farrelly,114,101,398,Bruce McGill,700,70836296,Comedy|Drama|Fantasy|Romance,Jason Alexander,Shallow Hal ,109445,2842,Susan Ward,http://www.imdb.com/title/tt0256380/?ref_=fn_tt_tt_1,PG-13,40000000,2001,655,5.9,,0.735883731
Adam McKay,130,285,767,Christian Bale,33000,70235322,Biography|Comedy|Drama|History,Ryan Gosling,The Big Short ,182983,57308,Charlie Talbert,http://www.imdb.com/title/tt1596363/?ref_=fn_tt_tt_1,R,28000000,2015,23000,7.8,,0.893384552
Colin Higgins,114,19,842,Barry Corbin,1000,69700000,Comedy|Musical,Dolly Parton,The Best Little Whorehouse in Texas ,7748,3688,Dom DeLuise,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1,R,35000000,1982,883,5.8,,0.090767108
Todd Phillips,94,480,486,Rachel Blanchard,1000,68525609,Comedy,Ethan Suplee,Road Trip ,132963,3889,Paulo Costanzo,http://www.imdb.com/title/tt0215129/?ref_=fn_tt_tt_1,R,15600000,2000,490,6.5,,0.776249303
Wolfgang Petersen,127,249,808,Morgan Freeman,18000,67823573,Action|Drama|Thriller,Kevin Spacey,Outbreak ,91176,30383,Rene Russo,http://www.imdb.com/title/tt0114069/?ref_=fn_tt_tt_1,R,50000000,1995,11000,6.6,,0.659686686
John Moore,101,212,476,Cole Hauser,13000,67344392,Action|Thriller,Bruce Willis,A Good Day to Die Hard ,165618,15481,Megalyn Echikunwoke,http://www.imdb.com/title/tt1606378/?ref_=fn_tt_tt_1,R,92000000,2013,787,5.3,,0.548051637
Roger Donaldson,108,79,268,Grant Heslov,650,67155742,Action|Adventure|Thriller,Jamie Renée Smith,Dante's Peak ,62271,1569,Tzi Ma,http://www.imdb.com/title/tt0118928/?ref_=fn_tt_tt_1,PG-13,116000000,1997,293,5.8,,0.266529136
Andy Fickman,98,99,433,Billy Brown,12000,67128202,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,Dwayne Johnson,Race to Witch Mountain ,43328,14007,Tom Everett Scott,http://www.imdb.com/title/tt1075417/?ref_=fn_tt_tt_1,PG,65000000,2009,536,5.7,,0.991521857
Baltasar Kormákur,109,175,733,David O'Hara,24000,66489425,Action|Crime|Drama|Thriller,J.K. Simmons,Contraband ,101977,26625,Lukas Haas,http://www.imdb.com/title/tt1524137/?ref_=fn_tt_tt_1,R,25000000,2012,736,6.5,,0.626709265
Gregory Jacobs,115,13,642,Channing Tatum,20000,66009973,Comedy|Drama|Music,Matt Bomer,Magic Mike XXL ,38202,38963,Kevin Nash,http://www.imdb.com/title/tt2268016/?ref_=fn_tt_tt_1,R,14800000,2015,17000,5.7,,0.781362564
Peter Weir,112,608,733,Viggo Mortensen,11000,65500000,Crime|Drama|Romance|Thriller,Harrison Ford,Witness ,66966,22479,Lukas Haas,http://www.imdb.com/title/tt0090329/?ref_=fn_tt_tt_1,R,12000000,1985,10000,7.4,,0.433125262
Tarsem Singh,106,763,809,Nathan Lane,8000,64933670,Adventure|Comedy|Drama|Family|Fantasy,Julia Roberts,Mirror Mirror ,70838,11454,Danny Woodburn,http://www.imdb.com/title/tt1667353/?ref_=fn_tt_tt_1,PG,85000000,2012,886,5.6,,0.159631528
Burr Steers,102,23,651,Hunter Parrish,2000,64149837,Comedy|Drama|Family|Fantasy|Romance,Matthew Perry,17 Again ,146899,7009,Thomas Lennon,http://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1,PG-13,20000000,2009,2000,6.4,,0.16111365
Robert Schwentke,107,124,100,Brooklynn Proulx,152,63411478,Drama|Fantasy|Romance|Sci-Fi,Arliss Howard,The Time Traveler's Wife ,114925,568,Michelle Nolden,http://www.imdb.com/title/tt0452694/?ref_=fn_tt_tt_1,PG-13,39000000,2009,142,7.1,,0.277669068
Nancy Meyers,138,278,213,Rufus Sewell,14000,63224849,Comedy|Romance,Kate Winslet,The Holiday ,182757,17423,Sarah Parish,http://www.imdb.com/title/tt0457939/?ref_=fn_tt_tt_1,PG-13,85000000,2006,3000,6.9,,0.922845615
Jon Turteltaub,109,226,370,Omar Benson Miller,12000,63143812,Action|Adventure|Family|Fantasy,Nicolas Cage,The Sorcerer's Apprentice ,124185,13388,Robert Capron,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,PG,150000000,2010,418,6.1,,0.079782078
Jaume Collet-Serra,113,174,767,Frank Langella,14000,61094903,Action|Mystery|Thriller,Liam Neeson,Unknown ,210542,17152,Aidan Quinn,http://www.imdb.com/title/tt1401152/?ref_=fn_tt_tt_1,PG-13,30000000,2011,903,6.9,,0.683084506
Ben Stiller,96,0,302,Janeane Garofalo,2000,60154431,Comedy|Drama|Thriller,Matthew Broderick,The Cable Guy ,122347,3718,Andy Dick,http://www.imdb.com/title/tt0115798/?ref_=fn_tt_tt_1,PG-13,47000000,1996,1000,6,,0.365673763
Frank Oz,93,0,465,Matthew Broderick,11000,59475623,Comedy|Sci-Fi|Thriller,Jon Lovitz,The Stepford Wives ,49739,13748,Roger Bart,http://www.imdb.com/title/tt0327162/?ref_=fn_tt_tt_1,PG-13,90000000,2004,2000,5.2,,0.231519355
Richard Curtis,129,628,548,Liam Neeson,14000,59365105,Comedy|Drama|Romance,Colin Firth,Love Actually ,318634,28886,Kris Marshall,http://www.imdb.com/title/tt0314331/?ref_=fn_tt_tt_1,R,45000000,2003,14000,7.7,,0.174286272
Will Gluck,92,87,424,Dan Byrd,15000,58401464,Comedy|Romance,Emma Stone,Easy A ,276746,16982,Fred Armisen,http://www.imdb.com/title/tt1282140/?ref_=fn_tt_tt_1,PG-13,8000000,2010,1000,7.1,,0.763014338
Dennis Dugan,75,221,553,Jon Heder,11000,57651794,Comedy|Romance|Sport,Jon Lovitz,The Benchwarmers ,40651,13125,Tim Meadows,http://www.imdb.com/title/tt0437863/?ref_=fn_tt_tt_1,PG-13,33000000,2006,970,5.6,,0.739539941
David Twohy,134,123,567,Alexa Davalos,14000,57637485,Action|Adventure|Sci-Fi|Thriller,Vin Diesel,The Chronicles of Riddick ,183909,17159,Christina Cox,http://www.imdb.com/title/tt0296572/?ref_=fn_tt_tt_1,PG-13,105000000,2004,850,6.7,,0.860040337
Baz Luhrmann,127,1000,653,Kylie Minogue,1000,57386369,Drama|Musical|Romance,Jim Broadbent,Moulin Rouge! ,224013,2601,Richard Roxburgh,http://www.imdb.com/title/tt0203009/?ref_=fn_tt_tt_1,PG-13,52500000,2001,691,7.6,,0.737405368
David Hackl,95,43,357,Costas Mandylor,3000,56729973,Horror|Mystery,Julie Benz,Saw V ,88529,5286,Scott Patterson,http://www.imdb.com/title/tt1132626/?ref_=fn_tt_tt_1,R,10800000,2008,723,5.8,,0.773728432
Andrzej Bartkowiak,115,43,775,Delroy Lindo,5000,55973336,Action|Crime|Thriller,Jet Li,Romeo Must Die ,57040,9082,Aaliyah,http://www.imdb.com/title/tt0165929/?ref_=fn_tt_tt_1,R,25000000,2000,848,6.1,,0.381915552
Jon Lucas,100,24,851,Jay Hernandez,15000,55461307,Comedy,Mila Kunis,Bad Moms ,4654,18786,Jada Pinkett Smith,http://www.imdb.com/title/tt4651520/?ref_=fn_tt_tt_1,R,20000000,2016,1000,6.7,,0.167207275
Jon Lucas,100,24,851,Jay Hernandez,15000,55461307,Comedy,Mila Kunis,Bad Moms ,4654,18786,Jada Pinkett Smith,http://www.imdb.com/title/tt4651520/?ref_=fn_tt_tt_1,R,20000000,2016,1000,6.7,,0.721620232
Michael Caton-Jones,124,105,460,Bruce Willis,24000,54910560,Action|Adventure|Crime|Thriller,J.K. Simmons,The Jackal ,88225,38227,Sophie Okonedo,http://www.imdb.com/title/tt0119395/?ref_=fn_tt_tt_1,R,60000000,1997,13000,6.3,,0.337275637
Nima Nourizadeh,93,166,281,Kirby Bliss Blanton,971,54724272,Comedy|Crime,Dax Flame,Project X ,157051,2043,Oliver Cooper,http://www.imdb.com/title/tt1636826/?ref_=fn_tt_tt_1,R,12000000,2012,329,6.7,,0.859763704
Lasse Hallström,122,529,171,Charlotte Le Bon,820,54235441,Comedy|Drama,Manish Dayal,The Hundred-Foot Journey ,52894,1484,Juhi Chawla,http://www.imdb.com/title/tt2980648/?ref_=fn_tt_tt_1,PG,22000000,2014,201,7.3,,0.937763837
Jay Roach,68,116,481,Charles Napier,8000,53868030,Comedy|Crime,Will Ferrell,Austin Powers: International Man of Mystery ,183425,10557,Robert Wagner,http://www.imdb.com/title/tt0118655/?ref_=fn_tt_tt_1,PG-13,17000000,1997,503,7,,0.39588826
Ted Demme,124,47,877,Ethan Suplee,40000,52937130,Biography|Crime|Drama,Johnny Depp,Blow ,198066,43453,Jordi Mollà,http://www.imdb.com/title/tt0221027/?ref_=fn_tt_tt_1,R,30000000,2001,1000,7.6,,0.163310899
Brian Robbins,106,48,35,Ron Lester,23000,52885587,Comedy|Drama|Romance|Sport,Paul Walker,Varsity Blues ,35312,23369,Mark Walters,http://www.imdb.com/title/tt0139699/?ref_=fn_tt_tt_1,R,16000000,1999,255,6.4,,0.710770954
Adrian Lyne,124,213,372,Erik Per Sullivan,838,52752475,Drama|Thriller,Olivier Martinez,Unfaithful ,63067,2583,Chad Lowe,http://www.imdb.com/title/tt0250797/?ref_=fn_tt_tt_1,R,50000000,2002,593,6.7,,0.172613035
Oliver Stone,136,0,17,Austin Pendleton,903,52474616,Drama,Frank Langella,Wall Street: Money Never Sleeps ,84118,1579,John Buffalo Mailer,http://www.imdb.com/title/tt1027718/?ref_=fn_tt_tt_1,PG-13,70000000,2010,592,6.3,,0.318031491
David S. Goyer,122,687,957,Natasha Lyonne,16000,52397389,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,Ryan Reynolds,Blade: Trinity ,132954,19764,John Michael Higgins,http://www.imdb.com/title/tt0359013/?ref_=fn_tt_tt_1,R,65000000,2004,1000,5.9,,0.70650048
Leigh Whannell,97,482,482,Hayley Kiyoko,852,52200504,Fantasy|Horror|Thriller,Lin Shaye,Insidious: Chapter 3 ,54190,2426,Leigh Whannell,http://www.imdb.com/title/tt3195644/?ref_=fn_tt_tt_1,PG-13,10000000,2015,542,6.1,,0.328419201
Ava DuVernay,128,151,852,Tom Wilkinson,1000,52066000,Biography|Drama|History,David Oyelowo,Selma ,61114,3869,Oprah Winfrey,http://www.imdb.com/title/tt1020072/?ref_=fn_tt_tt_1,PG-13,20000000,2014,1000,7.5,,0.823211873
James Mangold,91,446,660,Rebecca De Mornay,1000,51475962,Mystery|Thriller,Clea DuVall,Identity ,177828,3969,Jake Busey,http://www.imdb.com/title/tt0309698/?ref_=fn_tt_tt_1,R,30000000,2003,872,7.3,,0.419957538
Cory Edwards,80,19,854,Chazz Palminteri,11000,51053787,Action|Animation|Comedy|Crime|Family,Anne Hathaway,Hoodwinked! ,45900,14385,Jim Belushi,http://www.imdb.com/title/tt0443536/?ref_=fn_tt_tt_1,PG,17500000,2005,979,6.5,,0.363338483
John Glen,131,46,433,Alison Doody,1000,50300000,Action|Adventure|Thriller,Patrick Macnee,A View to a Kill ,68565,2943,Tanya Roberts,http://www.imdb.com/title/tt0090264/?ref_=fn_tt_tt_1,PG,30000000,1985,439,6.3,,0.074281389
Rupert Wainwright,103,9,573,Enrico Colantoni,826,50041732,Horror,Nia Long,Stigmata ,54390,3004,Portia de Rossi,http://www.imdb.com/title/tt0145531/?ref_=fn_tt_tt_1,R,29000000,1999,724,6.2,,0.565130465
Baz Luhrmann,165,1000,165,Bryan Brown,309,49551662,Adventure|Drama|Romance|War,Essie Davis,Australia ,102338,921,Eddie Baroo,http://www.imdb.com/title/tt0455824/?ref_=fn_tt_tt_1,PG-13,130000000,2008,284,6.6,,0.147045322
Tony Gilroy,119,209,521,Denis O'Hare,1000,49024969,Crime|Drama|Mystery|Thriller,Tom Wilkinson,Michael Clayton ,133367,3284,Sydney Pollack,http://www.imdb.com/title/tt0465538/?ref_=fn_tt_tt_1,R,25000000,2007,896,7.3,,0.478663915
Ron Howard,111,2000,244,Clint Howard,17000,48430355,Comedy|Drama,Channing Tatum,The Dilemma ,43709,18510,Chelcie Ross,http://www.imdb.com/title/tt1578275/?ref_=fn_tt_tt_1,PG-13,70000000,2011,1000,5.3,,0.402997258
Don Bluth,69,383,191,Gabriel Damon,912,48092846,Adventure|Animation|Family,Judith Barsi,The Land Before Time ,61753,1833,Bill Erwin,http://www.imdb.com/title/tt0095489/?ref_=fn_tt_tt_1,G,12500000,1988,320,7.3,,0.019641089
Scott Derrickson,110,301,412,Victoria Leigh,1000,48056940,Horror|Mystery,Danielle Kotch,Sinister ,155153,2239,James Ransone,http://www.imdb.com/title/tt1922777/?ref_=fn_tt_tt_1,R,3000000,2012,419,6.8,,0.50780541
Shawn Levy,88,189,799,Donald Faison,934,47811275,Adventure|Comedy|Family,Frankie Muniz,Big Fat Liar ,29008,3707,Lee Majors,http://www.imdb.com/title/tt0265298/?ref_=fn_tt_tt_1,PG,15000000,2002,927,5.4,,0.914762001
Martin Scorsese,146,17000,635,Mike Starr,22000,46836394,Biography|Crime|Drama,Robert De Niro,Goodfellas ,728685,24783,Paul Sorvino,http://www.imdb.com/title/tt0099685/?ref_=fn_tt_tt_1,R,25000000,1990,854,8.7,,0.953802575
Curtis Hanson,111,161,132,Glenn Morshower,11000,46815748,Action|Adventure|Crime|Thriller,Meryl Streep,The River Wild ,32544,12161,William Lucking,http://www.imdb.com/title/tt0110997/?ref_=fn_tt_tt_1,PG-13,45000000,1994,894,6.3,,0.333577278
Danny Boyle,113,0,27,Megan Burns,133,45063889,Drama|Horror|Sci-Fi|Thriller,Noah Huntley,28 Days Later... ,297250,241,David Schneider,http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1,R,8000000,2002,32,7.6,,0.287963764
Shawn Levy,125,189,839,Jessica Szohr,1000,44665963,Comedy,Josh Gad,The Internship ,159931,5081,Rob Riggle,http://www.imdb.com/title/tt2234155/?ref_=fn_tt_tt_1,PG-13,58000000,2013,847,6.3,,0.678774617
Steve Oedekerk,98,176,468,Michael McKean,742,44455658,Action|Adventure|Comedy|Crime,Kelly Preston,Nothing to Lose ,36253,2457,Rebecca Gayheart,http://www.imdb.com/title/tt0119807/?ref_=fn_tt_tt_1,R,25000000,1997,658,6.7,,0.750243582
Rob Bowman,101,38,11000,Gerard Butler,23000,43060566,Action|Adventure|Fantasy|Sci-Fi|Thriller,Christian Bale,Reign of Fire ,107859,53024,Matthew McConaughey,http://www.imdb.com/title/tt0253556/?ref_=fn_tt_tt_1,PG-13,60000000,2002,18000,6.2,,0.614066711
Alejandro G. Iñárritu,119,0,529,Naomi Watts,15000,42335698,Comedy|Drama|Romance,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance) ,395087,21668,Merritt Wever,http://www.imdb.com/title/tt2562232/?ref_=fn_tt_tt_1,R,18000000,2014,6000,7.8,,0.333410639
David Twohy,127,123,904,Nolan Gerard Funk,14000,41997790,Action|Sci-Fi|Thriller,Vin Diesel,Riddick ,125305,17551,Bokeem Woodbine,http://www.imdb.com/title/tt1411250/?ref_=fn_tt_tt_1,R,38000000,2013,924,6.4,,0.628014923
Carl Franklin,115,73,505,Adam Scott,11000,41543207,Crime|Drama|Mystery|Thriller,Morgan Freeman,High Crimes ,30077,15571,Bruce Davison,http://www.imdb.com/title/tt0257756/?ref_=fn_tt_tt_1,PG-13,42000000,2002,3000,6.3,,0.713940332
Barbra Streisand,122,0,292,Austin Pendleton,12000,41252428,Comedy|Drama|Romance,Jeff Bridges,The Mirror Has Two Faces ,11453,13716,Mimi Rogers,http://www.imdb.com/title/tt0117057/?ref_=fn_tt_tt_1,PG-13,42000000,1996,592,6.5,,0.855675416
